ID x y initial_quality score
1 0 166 0.0 0
2 0 167 0.0 0
3 0 168 0.0 0
4 0 169 0.0 0
5 0 170 0.0 0
6 0 171 0.0 0
7 0 172 0.0 0
8 0 173 0.0 0
9 1 164 0.0 0
10 1 165 0.0 0
11 1 166 0.0 0
12 1 167 0.0 0
13 1 168 0.0 0
14 1 169 0.0 0
15 1 170 0.0 0
16 1 171 0.0 0
17 1 172 0.0 0
18 1 173 0.0 0
19 1 174 0.0 0
20 1 175 0.0 0
21 2 155 0.0 0
22 2 156 0.0 0
23 2 157 0.0 0
24 2 158 0.0 0
25 2 159 0.0 0
26 2 160 0.0 0
27 2 162 0.0 0
28 2 163 0.0 0
29 2 164 0.0 0
30 2 165 0.0 0
31 2 166 0.0 0
32 2 167 0.0 0
33 2 168 0.0 0
34 2 169 0.0 0
35 2 170 0.0 0
36 2 171 0.0 0
37 2 172 0.0 0
38 2 173 0.0 0
39 2 174 0.0 0
40 2 175 0.0 0
41 2 176 0.0 0
42 2 177 0.0 0
43 3 153 0.0 0
44 3 154 0.0 0
45 3 155 0.0 0
46 3 156 0.0 0
47 3 157 0.0 0
48 3 158 0.0 0
49 3 159 0.0 0
50 3 160 0.0 0
51 3 161 0.0 0
52 3 162 0.0 0
53 3 163 0.0 0
54 3 164 0.0 0
55 3 165 0.0 0
56 3 166 0.0 0
57 3 167 0.0 0
58 3 168 0.0 0
59 3 169 0.0 0
60 3 170 0.0 0
61 3 171 0.0 0
62 3 172 0.0 0
63 3 173 0.0 0
64 3 174 0.0 0
65 3 175 0.0 0
66 3 176 0.0 0
67 3 177 0.0 0
68 3 178 0.0 0
69 3 179 0.0 0
70 3 180 0.0 0
71 4 153 0.0 0
72 4 154 0.0 0
73 4 155 0.0 0
74 4 156 0.0 0
75 4 157 0.0 0
76 4 158 0.0 0
77 4 159 0.0 0
78 4 160 0.0 0
79 4 161 0.0 0
80 4 162 0.0 0
81 4 163 0.0 0
82 4 164 0.0 0
83 4 165 0.0 0
84 4 166 0.0 0
85 4 167 0.0 0
86 4 168 0.0 0
87 4 169 0.0 0
88 4 170 0.0 0
89 4 171 0.0 0
90 4 172 0.0 0
91 4 173 0.0 0
92 4 174 0.0 0
93 4 175 0.0 0
94 4 176 0.0 0
95 4 177 0.0 0
96 4 178 0.0 0
97 4 179 0.0 0
98 4 180 0.0 0
99 4 181 0.0 0
100 4 182 0.0 0
101 4 183 0.0 0
102 5 152 0.0 0
103 5 153 0.0 0
104 5 154 0.0 0
105 5 155 0.0 0
106 5 156 0.0 0
107 5 157 0.0 0
108 5 158 0.0 0
109 5 159 0.0 0
110 5 160 0.0 0
111 5 161 0.0 0
112 5 162 0.0 0
113 5 163 0.0 0
114 5 164 0.0 0
115 5 165 0.0 0
116 5 166 0.0 0
117 5 167 0.0 0
118 5 168 0.0 0
119 5 169 0.0 0
120 5 170 0.0 0
121 5 171 0.0 0
122 5 172 0.0 0
123 5 173 0.0 0
124 5 174 0.0 0
125 5 175 0.0 0
126 5 176 0.0 0
127 5 177 0.0 0
128 5 178 0.0 0
129 5 179 0.0 0
130 5 180 0.0 0
131 5 181 0.0 0
132 5 182 0.0 0
133 5 183 0.0 0
134 5 184 0.0 0
135 6 151 0.0 0
136 6 152 0.0 0
137 6 153 0.0 0
138 6 154 0.0 0
139 6 155 0.0 0
140 6 156 0.0 0
141 6 157 0.0 0
142 6 158 0.0 0
143 6 159 0.0 0
144 6 160 0.0 0
145 6 161 0.0 0
146 6 162 0.0 0
147 6 163 0.0 0
148 6 164 0.0 0
149 6 165 0.0 0
150 6 166 0.0 0
151 6 167 0.0 0
152 6 168 0.0 0
153 6 169 0.0 0
154 6 170 0.0 0
155 6 171 0.0 0
156 6 172 0.0 0
157 6 173 0.0 0
158 6 174 0.0 0
159 6 175 0.0 0
160 6 176 0.0 0
161 6 177 0.0 0
162 6 178 0.0 0
163 6 179 0.0 0
164 6 180 0.0 0
165 6 181 0.0 0
166 6 182 0.0 0
167 6 183 0.0 0
168 6 184 0.0 0
169 6 185 0.0 0
170 7 150 0.0 0
171 7 151 0.0 0
172 7 152 0.0 0
173 7 153 0.0 0
174 7 154 0.0 0
175 7 155 0.0 0
176 7 156 0.0 0
177 7 157 0.0 0
178 7 158 0.0 0
179 7 159 0.0 0
180 7 160 0.0 0
181 7 161 0.0 0
182 7 162 0.0 0
183 7 163 0.0 0
184 7 164 0.0 0
185 7 165 0.0 0
186 7 166 0.0 0
187 7 167 0.0 0
188 7 168 0.0 0
189 7 169 0.0 0
190 7 170 0.0 0
191 7 171 0.0 0
192 7 172 0.0 0
193 7 173 0.0 0
194 7 174 0.0 0
195 7 175 0.0 0
196 7 176 0.0 0
197 7 177 0.0 0
198 7 178 0.0 0
199 7 179 0.0 0
200 7 180 0.0 0
201 7 181 0.0 0
202 7 182 0.0 0
203 7 183 0.0 0
204 7 184 0.0 0
205 7 185 0.0 0
206 7 186 0.0 0
207 8 149 0.0 0
208 8 150 0.0 0
209 8 151 0.0 0
210 8 152 0.0 0
211 8 153 0.0 0
212 8 154 0.0 0
213 8 155 0.0 0
214 8 156 0.0 0
215 8 157 0.0 0
216 8 158 0.0 0
217 8 159 0.0 0
218 8 160 0.0 0
219 8 161 0.0 0
220 8 162 0.0 0
221 8 163 0.0 0
222 8 164 0.0 0
223 8 165 0.0 0
224 8 166 0.0 0
225 8 167 0.0 0
226 8 168 0.0 0
227 8 169 0.0 0
228 8 170 0.0 0
229 8 171 0.0 0
230 8 172 0.0 0
231 8 173 0.0 0
232 8 174 0.0 0
233 8 175 0.0 0
234 8 176 0.0 0
235 8 177 0.0 0
236 8 178 0.0 0
237 8 179 0.0 0
238 8 180 0.0 0
239 8 181 0.0 0
240 8 182 0.0 0
241 8 183 0.0 0
242 8 184 0.0 0
243 8 185 0.0 0
244 8 186 0.0 0
245 8 187 0.0 0
246 9 148 0.0 0
247 9 149 0.0 0
248 9 150 0.0 0
249 9 151 0.0 0
250 9 152 0.0 0
251 9 153 0.0 0
252 9 154 0.0 0
253 9 155 0.0 0
254 9 156 0.0 0
255 9 157 0.0 0
256 9 158 0.0 0
257 9 159 0.0 0
258 9 160 0.0 0
259 9 161 0.0 0
260 9 162 0.0 0
261 9 163 0.0 0
262 9 164 0.0 0
263 9 165 0.0 0
264 9 166 0.0 0
265 9 167 0.0 0
266 9 168 0.0 0
267 9 169 0.0 0
268 9 170 0.0 0
269 9 171 0.0 0
270 9 172 0.0 0
271 9 173 0.0 0
272 9 174 0.0 0
273 9 175 0.0 0
274 9 176 0.0 0
275 9 177 0.0 0
276 9 178 0.0 0
277 9 179 0.0 0
278 9 180 0.0 0
279 9 181 0.0 0
280 9 182 0.0 0
281 9 183 0.0 0
282 9 184 0.0 0
283 9 185 0.0 0
284 9 186 0.0 0
285 9 187 0.0 0
286 10 147 0.0 0
287 10 148 0.0 0
288 10 149 0.0 0
289 10 150 0.0 0
290 10 151 0.0 0
291 10 152 0.0 0
292 10 153 0.0 0
293 10 154 0.0 0
294 10 155 0.0 0
295 10 156 0.0 0
296 10 157 0.0 0
297 10 158 0.0 0
298 10 159 0.0 0
299 10 160 0.0 0
300 10 161 0.0 0
301 10 162 0.0 0
302 10 163 0.0 0
303 10 164 0.0 0
304 10 165 0.0 0
305 10 166 0.0 0
306 10 167 0.0 0
307 10 168 0.0 0
308 10 169 0.0 0
309 10 170 0.0 0
310 10 171 0.0 0
311 10 172 0.0 0
312 10 173 0.0 0
313 10 174 0.0 0
314 10 175 0.0 0
315 10 176 0.0 0
316 10 177 0.0 0
317 10 178 0.0 0
318 10 179 0.0 0
319 10 180 0.0 0
320 10 181 0.0 0
321 10 182 0.0 0
322 10 183 0.0 0
323 10 184 0.0 0
324 10 185 0.0 0
325 10 186 0.0 0
326 10 187 0.0 0
327 11 146 0.0 0
328 11 147 0.0 0
329 11 148 0.0 0
330 11 149 0.0 0
331 11 150 0.0 0
332 11 151 0.0 0
333 11 152 0.0 0
334 11 153 0.0 0
335 11 154 0.0 0
336 11 155 0.0 0
337 11 156 0.0 0
338 11 157 0.0 0
339 11 158 0.0 0
340 11 159 0.0 0
